artist,size,title
Herbert L. Kornfeld,16 x 36 inches,"
        Inmates, 1940
      "
David Solomon,8 x 10 inches,"
        Inn at Laguna Beach
      "
Sid Bingham,18 x 23 inches,"
        Into It
      "
Milford Zornes,14 x 19.75 inches,"
        Ireland, 1997
      "
David Solomon,22 x 30 inches,"
        Irvine Store
      "
Carolyn Lord,15 x 22 inches,"
        Isings at North ""I"" and Railroad, 2007
      "
Hardie Gramatky,14.5 x 13.75 inches,"
        Island Fighter
      "
Tom Van Sant,22 x 29.5 inches,"
        Island Ladies, 1953
      "
Hardie Gramatky,14 x 20 inches,"
        Island Refuge, 1937
      "
Millard Sheets,22 x 30 inches,"
        Itami Rice Fields, c. 1970s
      "
Ken Potter,22 x 30 inches,"
        John Muir House, Martinez, 1992
      "
David Solomon,8 x 10 inches,"
        Johnny Rockets
      "
Joseph Weisman,16.5 x 21 inches,"
        Junkyard
      "
Tom Van Sant,22 x 30 inches,"
        Keauhou Bay, Kona, Hawaii, 1952
      "
Steve Santmyer,15 x 20 inches,"
        Dot
      "
Steve Santmyer,21.25 x 29 inches,"
        Keep an Eye on the Bird
      "
Hardie Gramatky,12.5 x 16.5 inches,"
        Kentucky Spring, 1959
      "
Ruth Ortlieb,15 x 18 inches,"
        Kitchen Chores, c. 1930s
      "
John Bohnenberger,20.75 x 28.5 inches,"
        Klondike Cafe
      "
Steve Santmyer,21.75 x 29.5 inches,"
        Kona Boys
      "
Steve Santmyer,19.25 x 28.75 inches,"
        Kona Coffee Mill
      "
Steve Santmyer,29.25 x 21.5 inches,"
        Kona, Hawaii
      "
Robert E. Wood,13 x 20 inches,"
        Kremlin
      "
Steve Santmyer,14 x 20.5 inches,"
        La Casadita
      "
David Solomon,15 x 20 inches,"
        La Fonda, Baja
      "
Eileen Monaghan Whitaker,22 x 30 inches,"
        La Jolla
      "
Sid Bingham,17.75 x 23.5 inches,"
        Lady at Thought
      "
David Solomon,22 x 30 inches,"
        Dock Repair
      "
Tom Van Sant,22 x 30 inches,"
        Laguna Beach Boats at Cupola Point
      "
Tom Van Sant,21.5 x 27.75 inches,"
        Laguna Beach Front, 1955
      "
Steve Santmyer,22 x 30 inches,"
        Laguna Beach Life Guard Tower
      "
David Solomon,8 x 10 inches,"
        Laguna Canyon
      "
Sid Bingham,17.75 x 23.75 inches,"
        Laguna Steps
      "
Marshall David Potter,15 x 22 inches,"
        Abandoned Farm, 1948
      "
Dwight Strong,22 x 30 inches,"
        Lake Lagunitas, 1990
      "
Millard Sheets,15 x 23 inches,"
        Lake Lohman - No Fishing, 1941
      "
Robert E. Wood,14.5 x 21.75 inches,"
        Land of Discovery
      "
Steve Santmyer,22 x 30 inches,"
        Baja Traveler
      "
Jake Lee,13.75 x 20.75 inches,"
        Landscape
      "
Joseph Raphael,8.5 x 12 inches,"
        Landscape, c. 1920s
      "
Robert Landry,14 x 20 inches,"
        Laundry Day
      "
Steve Santmyer,21.25 x 29 inches,"
        The Road Into Saladita, Gro, Mexico
      "
David Solomon,22 x 30 inches,"
        Lazy Red, San Fran, 1979
      "
Alex Ignatiev,14 x 18 inches,"
        Leaning Cathedral, Mexico City, 1947
      "
Erle Loran,14.75 x 18.5 inches,"
        Adobe Wall
      "
James Green,18 x 24 inches,"
        Light Post
      "
Steve Santmyer,21 x 29 inches,"
        Lighthouse at Bandon, OR
      "
Art Riley,22 x 30 inches,"
        Linde Plaza
      "
Art Riley,22 x 29.75 inches,"
        Little Mission
      "
Ken Goldman,10.75 x 7.75 inches,"
        Live Model, Dog and Flowers in Stephanie's Class
      "
Ken Potter,22 x 30 inches,"
        Mission San Luis Rey de Francia, 2003
      "
Robert Landry,21 x 24 inches,"
        Boat Dock
      "
Robert E. Wood,29.5 x 41 inches,"
        Loreeta, Loreeta, Loreeta
      "
John Bohnenberger,21.5 x 29.5 inches,"
        Loretta Marie
      "
John Bohnenberger,21.5 x 29.5 inches,"
        Los Angeles Harbor
      "
Frank Eber,8.5 x 21.5 inches,"
        Los Osos Crowds
      "
Sid Bingham,20 x 28.25 inches,"
        LPGA, Oakmont Country Club, Glendale, CA
      "
Robert E. Wood,15 x 22 inches,"
        Lumberjack
      "
Frank Eber,13.5 x 19.25 inches,"
        Lunchtime Walk, Morro Bay
      "
Millard Sheets,25 x 40 inches,"
        Lush Forest, c. 1970s
      "
Steve Santmyer,15 x 20 inches,"
        Mail Boxes, Pauma Valley
      "
Steve Santmyer,15 x 21 inches,"
        Majahua Beach
      "
Hugh Duncan,15 x 22 inches,"
        Mammoth
      "
Hugh Duncan,15 x 22 inches,"
        Mammoth Town
      "
Ralph Hulett,22 x 30 inches,"
        Mammoth Valley
      "
James Green,14.5 x 22 inches,"
        Man Made Beach, Mississippi
      "
Steve Santmyer,16 x 22 inches,"
        Manzanillo Bay
      "
Franz Bergmann,14.75 x 19.75 inches,"
        Marionettes
      "
Frederic Whitaker,22 x 30 inches,"
        Marrion Gray
      "
Tony Sheets,22 x 30 inches,"
        Matsue, Japan, 1983
      "
Ken Potter,30 x 22 inches,"
        Matterhorn, Switzerland, 1993
      "
John Norman Stewart,23 x 16.75 inches,"
        Clint
      "
Chris Oldham,10 x 14.5 inches,"
        Meet at Ridgeway
      "
Alex Ignatiev,11 x 13 inches,"
        Mending the Nets
      "
Tom Van Sant,22.25 x 29 inches,"
        Mendocino Morning
      "
Carolyn Lord,15 x 22 inches,"
        Mendocino, 1984
      "
Tom Van Sant,22 x 30.25 inches,"
        Mexican Jungle Home, 1955
      "
John Norman Stewart,21.5 x 29.25 inches,"
        Boggs Champlin
      "
Joseph Knowles,21.5 x 29.5 inches,"
        Mexican Market, 1956
      "
Tom Van Sant,22 x 30 inches,"
        Mexican Riders, 1955
      "
Sid Bingham,17.75 x 23.25 inches,"
        Michael with Guitar
      "
Vic de Beck,15.5 x 23 inches,"
        Migration
      "
Steve Santmyer,21.25 x 29 inches,"
        Miloli'i, South Kona, Hawaii
      "
Carolyn Lord,15 x 22 inches,"
        Mint Chip Rock Pit, 2002
      "
George Gibson,19.75 x 13.75 inches,"
        Mission
      "
Ken Goldman,20 x 13 inches,"
        Mission Bay Dusk
      "
Art Riley,21.75 x 29.75 inches,"
        Mission Bells
      "
Dwight Strong,19.25 x 25.25 inches,"
        Mission San Diego, 1991
      "
Art Riley,20 x 29.5 inches,"
        Mission San Xavier del Bac
      "
John Norman Stewart,27.75 x 17.75 inches,"
        Monet's Water Lilies
      "
David Solomon,14.5 x 19.5 inches,"
        Monterey
      "
David Blower,15 x 22 inches,"
        Monterey Bay, c. 1940s
      "
Ken Potter,19.25 x 25.5 inches,"
        Monterey Beach, 1956
      "
Arthur Beaumont,14 x 16 inches,"
        Monterey, c. 1930s
      "
Vic de Beck,14.5 x 21.75 inches,"
        Morning Flight
      "
Betsy Dillard Stroud,30 x 21.75 inches,"
        Morning Light
      "
Ken Goldman,11 x 7.75 inches,"
        Morning Preparations in AU
      "
Hugh Duncan,15 x 22 inches,"
        Morro Bay
      "
Joseph O'Malley,16 x 22 inches,"
        Morro Bay California
      "
Millard Sheets,22 x 30 inches,"
        Mount Shasta, c. 1970s
      "
Ken Goldman,"11 x 32 inches, oil on board, signed lower left","
        Mount Soledad Vista
      "
Ken Decker,11 x 15 inches,"
        Mountainside
      "
Ben Messick,11.5 x 10.5 inches,"
        Mr. Betterton
      "
Hardie Gramatky,14.5 x 20.5 inches,"
        Muddy, Turbulent Mississippi, 1937
      "
Tom Van Sant,21.25 x 29.75 inches,"
        My First Watercolor, Newport Beach
      "
Jack Laycox,16.25 x 13 inches,"
        My Hometown
      "
Sid Bingham,18 x 23.75 inches,"
        Nana's Coffemaker
      "
Eileen Monaghan Whitaker,30 x 22 inches,"
        Navajo, 1974
      "
Jo Rebert,23.25 x 34 inches,"
        Neighborhood
      "
Tom Van Sant,21.75 x 30.25 inches,"
        Nets of Janitzio, Lake Patzcuaro, Mexico, 1953
      "
Herbert L. Kornfeld,20 x 16 inches,"
        Newhall, CA
      "
Hugh Duncan,15 x 22 inches,"
        Newport Beach
      "
Franz Bergmann,14.75 x 19.5 inches,"
        Jester Box
      "
William Arthur Paxton,14 x 21.75 inches,"
        Newport Beach Harbor, c. 1930
      "
Jae Carmichael,26 x 38.5 inches,"
        Newport Harbor, 1953
      "
Steve Santmyer,21.5 x 29 inches,"
        Newport, OR
      "
Steve Santmyer,19 x 13.25 inches,"
        News Stand in Mexico
      "
Ken Potter,30 x 22 inches,"
        Newspaper Office, 1990
      "
Carolyn Lord,15 x 22 inches,"
        Nicolaou's Sausalito View, 1990
      "
Irv Wyner,19 x 25.25 inches,"
        Night Fishing, c. 1930s
      "
Ben Messick,18 x 12 inches,"
        Night Fishing, Long Beach
      "
David Solomon,17.75 x 23.75 inches,"
        Nite Train
      "
Wilfrid Provan,22 x 28 inches,"
        No Vacancy
      "
William Jekel,19 x 24 inches,"
        Noon Day Sun
      "
Robert Landry,16 x 20 inches,"
        North Coast
      "
Tom Van Sant,14.25 x 21.5 inches,"
        North of Cabo, Baja Peninsula, 1952
      "
Vic de Beck,14 x 22 inches,"
        Northern California Coast
      "
David Solomon,23.5 x 29.75 inches,"
        Noyo River, Fort Bragg, CA
      "
John B. Munroe,21 x 14.75 inches,"
        Nude
      "
Jo Rebert,21 x 28.5 inches,"
        Nude Model
      "
Elmer Bischoff,5 x 7 inches,"
        Nudes, 1967
      "
Ben Messick,12 x 18 inches,"
        The All Clown Band
      "
Art Riley,22 x 30 inches,"
        Nuns Fishing, Carmel
      "
Steve Santmyer,14 x 21 inches,"
        Oceanside Pier
      "
Glen Knowles,14.75 x 21.75 inches,"
        Oil Derrick
      "
Sid Bingham,17.5 x 13.75 inches,"
        Bill and His Tuba
      "
Herbert L. Kornfeld,21 x 29 inches,"
        Oil Field
      "
Frederic Whitaker,22 x 30 inches,"
        Oil in the Desert
      "
John Bohnenberger,20.75 x 28.25 inches,"
        Walk in the Park
      "
Louis Hughes,18 x 27.25 inches,"
        Ol' Town
      "
James Hollins Patrick,14.5 x 22.25 inches,"
        Old Barn, New York, 1939
      "
Ken Potter,22 x 30 inches,"
        Old Customs House & Skyline, 2004
      "
John Norman Stewart,12 x 15.75 inches,"
        Old House
      "
Robert Uecker,22 x 30 inches,"
        Old Houses
      "
Gerald Collins Gleeson,23.75 x 18 inches,"
        Old Railroad Station, Lake Chapala, 1981
      "
Louis Macouillard,22.5 x 28.75 inches,"
        Old Red Tug, San Francisco, 1946
      "
Jake Lee,15 x 22 inches,"
        Old Store
      "
Milford Zornes,21.75 x 29.25 inches,"
        Old Trucks, 1999
      "
Frank Eber,12 x 16 inches,"
        Claasen's Radiator Service
      "
Ben Messick,9 x 10.75 inches,"
        Olvera St., LA
      "
John Norman Stewart,20.5 x 28.25 inches,"
        On the Beach
      "
David Solomon,13.5 x 21 inches,"
        On the Dock
      "
Warren Chase Merritt,12.5 x 12 inches,"
        On the Docks
      "
Ken Decker,11 x 15 inches,"
        On the Lake
      "
Frank LaLumia,22 x 30 inches,"
        On the Oregon Coast
      "
Robert Uecker,10.5 x 13 inches,"
        On the Rocks
      "
Jake Lee,14 x 20 inches,"
        On the Water
      "
Rex Brandt,13.25 x 20.25 inches,"
        On the Way to La Cresta, 1981
      "
Tom Van Sant,30 x 22 inches,"
        On the Way to Market, Mexico, 1953
      "
Stanley Long,14 x 20 inches,"
        Open Range, c. 1948
      "
Sid Bingham,17.75 x 22.75 inches,"
        Oranges
      "
Sid Bingham,18 x 23.75 inches,"
        Oranges with Wine Bottle
      "
"Harold ""Hal"" Lanfair",14.75 x 20.75 inches,"
        Oregon Coast
      "
John Norman Stewart,27 x 19 inches,"
        Oregon Coast 4
      "
Steve Santmyer,21.25 x 29 inches,"
        Ortho, Waimea, Hawaii
      "
David Solomon,21.75 x 29.75 inches,"
        Oscar's, Baja
      "
Ken Potter,22 x 30 inches,"
        Pac Bell Cityscape
      "
Dwight Strong,30 x 22 inches,"
        Pageant, 1996
      "
Ken Potter,13.5 x 19.5 inches,"
        Panama Jungle, 1950
      "
Alex Ignatiev,20 x 30 inches,"
        Park in North Beach San Francisco, 1949
      "
Ruth Ortlieb,18 x 15 inches,"
        Patio Scene, c. 1930s
      "
John Norman Stewart,21.25  x 29 inches,"
        Patrick's Point
      "
Steve Santmyer,19.5 x 28 inches,"
        Pauma Valley Barn
      "
John Norman Stewart,11.25 x 14.5 inches,"
        Peaceful River
      "
Art Riley,21.5 x 29 inches,"
        Pebble Beach
      "
Sid Bingham,18.5 x 27.5 inches,"
        Peeling
      "
Steve Santmyer,14.25 x 18.25 inches,"
        Periodicos Y Revis
      "
Vic de Beck,14.25 x 21.5 inches,"
        Petaluma Barn
      "
Joseph Knowles,21 x 28.5 inches,"
        Boat Ramp
      "
Gerald Collins Gleeson,21 x 29.5 inches,"
        Pier with Boat
      "
Ruth Ortlieb,17 x 14 inches,"
        Playing in the Garden, c. 1930s
      "
Dorothea Cooke (Gramatky),19.5 x 12.25 inches,"
        Pleased To Meet You, 1936
      "
Ray Wilson,10.25 x 14 inches,"
        Plowing
      "
Standish Backus Jr.,14.75 x 21.75 inches,"
        Point Conception, 1972
      "
Sid Bingham,10 x 14 inches,"
        Poipu, Kauai
      "
John Bohnenberger,21.5 x 29.5 inches,"
        Pony Ride
      "
John Norman Stewart,20.5 x 14.25 inches,"
        Powell Street, San Francisco
      "
Frederick Penney,16 x 19 inches,"
        Prince and Princess
      "
Frederick Penney,12.5 x 10 inches,"
        Prince Charming
      "
Elmer Plummer,13.75 x 21.25 inches,"
        Private Property
      "
Carolyn Lord,15 x 22 inches,"
        Private Road, 1998
      "
Dwight Strong,26 x 19.75 inches,"
        Puerto Vallarta, Zocalo, Mexico, 2000
      "
Frederic Johnston,13 x 20.75 inches,"
        Pumping Gas
      "
Eileen Monaghan Whitaker,28 x 23 inches,"
        Que Pasa
      "
George Gibson,20 x 29 inches,"
        Quebec Fall
      "
Charles Surendorf,15 x 22 inches,"
        Railyard, 1959
      "
Robert Landry,14 x 20 inches,"
        Rainy Day
      "
Tom Van Sant,14.25 x 21.5 inches,"
        Ranch House Afternoon
      "
Phil Paradise,8 x 10.5 inches,"
        Ranch Studies 8, 1952
      "
Phil Paradise,8 x 11 inches,"
        Ranch Studies, 1952
      "
Phil Paradise,7.5 x 11 inches,"
        Ranch Studies, Dude Ranch, 1952
      "
Dorothea Cooke (Gramatky),14.5 x 18 inches,"
        Rapt Attention, 1936
      "
Sid Bingham,17.75 x 23.75 inches,"
        Raw Power, Glendale Power and Water
      "
Watson Cross Jr.,15 x 20.5 inches,"
        Red Barn, 1945
      "
Millard Sheets,22.25 x 30.25 inches,"
        Red Cross, India, 1943
      "
Sid Bingham,21.25 x 29.5 inches,"
        Regusci Winery, Silverado Trail, Napa
      "
James Green,22 x 30 inches,"
        Repairing Nets
      "
Barse Miller,14 x 21 inches,"
        Return from the Movies, 1944
      "
Robert Landry,12.5 x 18.5 inches,"
        River Shack
      "
Chris Oldham,16 x 27 inches,"
        Riverside
      "
Steve Santmyer,21.5 x 29.5 inches,"
        Road South, Mexico
      "
Frederic Whitaker,18.5 x 14.5 inches,"
        Rockport, 1933
      "
Betsy Dillard Stroud,22 x 30 inches,"
        Roses for Joseph
      "
Wayne La Com,22 x 30 inches,"
        Ruins at Royal Palms, 1950
      "
Elmer Stanhope,13 x 19.25 inches,"
        Beacon Products
      "
Ken Potter,30 x 22 inches,"
        S S Peter Paul, San Francisco
      "
Don David,14.25 x 18.25 inches,"
        Sacramento Valley, 1938
      "
Steve Santmyer,18 x 20 inches,"
        Drydock 1
      "
John Bohnenberger,21.5 x 29.5 inches,"
        Saddle Up
      "
Arthur Beaumont,14 x 18 inches,"
        Sailing
      "
Robert Perine,13.25 x 18 inches,"
        Sailing
      "
Vic de Beck,17.25 x 23.5 inches,"
        Sailing at Point Lobos
      "
Franz Bergmann,14 x 18.5 inches,"
        Sailing Road
      "
Steve Santmyer,9.75 x 13.75 inches,"
        Salt Creek 50 Cents
      "
Steve Santmyer,21.75 x 29.75 inches,"
        Salt Creek Surfer
      "
Erle Loran,20 x 25.5 inches,"
        Sams Seafood
      "
David Solomon,21.75 x 29.75 inches,"
        San Clemente Castle
      "
Ken Goldman,"18 x 24 inches, oil on board, signed lower right","
        San Diego River Dusk
      "
Ken Goldman,14.75 x 21.5 inches,"
        San Diego Skyline from Coronado
      "
Dwight Strong,30 x 22 inches,"
        San Francisco Canyon, Redwood Park, 1996
      "
William Ross Cameron,8 x 9 inches,"
        San Francisco from lower 3rd. Street, c. 1930s
      "
Dwight Strong,22 x 30 inches,"
        San Francisco from Russian Hill, 2001
      "
Ken Potter,17.75 x 23.25 inches,"
        San Francisco Yacht Club, 1969
      "
Phil Paradise,6.5 x 11 inches,"
        San Miguel de Allende, Crosses, 1953
      "
Phil Paradise,8 x 11 inches,"
        San Miguel de Allende, Ladies, 1953
      "
Phil Paradise,8.25 x 11 inches,"
        San Miguel de Allende, Market Scene 2, 1953
      "
Phil Paradise,8 x 11 inches,"
        San Miguel de Allende, Market Scene 4, 1953
      "
Phil Paradise,8.5 x 11 inches,"
        San Miguel de Allende, Market Scene, 1953
      "
Hardie Gramatky,11.5 x 15 inches,"
        Boats at Low Tide, (Westport), 1958
      "
Phil Paradise,11 x 7.75 inches,"
        San Miguel de Allende, Mission, 1953
      "
Phil Paradise,7.25 x 11 inches,"
        San Miguel de Allende, Women on Bench, 1953
      "
Frank J. Gavencky,7 x 13.75 inches,"
        Adobe with Wagons
      "
David Solomon,22 x 30 inches,"
        San Pedro Harbor
      "
Hardie Gramatky,14.5 x 21 inches,"
        San Pedro Harbor, 1931
      "
Art Riley,22 x 30.5 inches,"
        Sand Dune, 17 Mile Drive
      "
Art Riley,21.25 x 29 inches,"
        Sand Dunes
      "
Art Riley,22 x 30 inches,"
        Sand Fort
      "
Barse Miller,14 x 21 inches,"
        Santa Barbara Knitters
      "
James Hollins Patrick,"Stone Lithograph, 15 x 19.5 inches","
        Santa Fe Goat, 1939
      "
Chris Oldham,12 x 15.75 inches,"
        Saturday
      "
Elmer Bischoff,5 x 7 inches,"
        Bathers, 1967
      "
Betsy Dillard Stroud,22 x 29.75 inches,"
        Schehrezade's Secret Garden Series No. 12
      "
Betsy Dillard Stroud,22 x 30 inches,"
        Schehrezade's Secret Garden Series No. 15
      "
John Bohnenberger,21.5 x 29.5 inches,"
        School Days
      "
Alvin Beller,13.5 x 21.5 inches,"
        Sea Hog
      "
Vernon Nye,14.75 x 19.25 inches,"
        Sea Wall Along the Oregon Coast
      "
Steve Santmyer,20.5 x 29 inches,"
        Seal Rock, Laguna Beach
      "
Steve Santmyer,15 x 22 inches,"
        Boat on Oil Drums
      "
Art Riley,21 x 28.75 inches,"
        Seaside Restaurant
      "
Millard Sheets,14.5 x 23 inches,"
        Sections of Walls, 1941
      "
Alvin Beller,9.5 x 13.5 inches,"
        Seminary at San Miguel, c. 1930s
      "
J. Milford Ellison,13.75 x 19.5 inches,"
        Shadows on the Path
      "
John Norman Stewart,14.75 x 19.75 inches,"
        Shards
      "
Milford Zornes,"30 x 25 inches, oils on canvas, signed lower left","
        Show Girls, 1952
      "
Sid Bingham,20.75 x 29 inches,"
        Belly Dancer
      "
Vic de Beck,20.5 x 26.75 inches,"
        Sierra Foothills
      "
Jo Rebert,21.25 x 29.25 inches,"
        Still Life with Vase
      "
Jo Rebert,29.25 x 21.5 inches,"
        Sitting
      "
Frank LaLumia,22 x 30 inches,"
        Snow in the Foothills
      "
Ken Goldman,14.75 x 19.5 inches,"
        Soka University, Malibu
      "
Ken Goldman,23 x 16 inches,"
        Soledad Slope
      "
Steve Santmyer,11.5 x 16.75 inches,"
        Some Fun
      "
Frank LaLumia,22 x 30 inches,"
        Sonoma, Goat Rock State Park
      "
Steve Santmyer,18 x 22 inches,"
        Bay House
      "
Phil Paradise,8 x 11 inches,"
        Sonora, Mariachi, 1951
      "
Ken Goldman,23.25 x 15.25 inches,"
        South Bay Park Shadows
      "
Ken Goldman,20 x 30 inches,"
        South Course Hole #3
      "
Daniel Mendelowitz,18.25 x 25.5 inches,"
        South Palo Alto, 1946
      "
Art Riley,14.75 x 27.5 inches,"
        South San Francisco
      "
Hardie Gramatky,14 x 20 inches,"
        Southern Home in Flood, 1938
      "
Robert E. Wood,21.5 x 30.25 inches,"
        Spanish Rooftops, Toledo, 1969
      "
David Solomon,14.75 x 22 inches,"
        Split Mountain
      "
Raymon Price,12 x 16.75 inches,"
        Sport Fishing
      "
Sid Bingham,18 x 24 inches,"
        Spring at the Mexican Fountain, Descanso Gardens
      "
Vic de Beck,14 x 21 inches,"
        Spring Mustard in Sonoma
      "
Wayne La Com,15 x 22 inches,"
        Spring Valley Creek
      "
Vic de Beck,14.5 x 21.25 inches,"
        Springtime Wisconsin
      "
Lois Green Cohen,21 x 28 inches,"
        Squarerigger
      "
Gunnar Widforss,10.25 x 16.75 inches,"
        Still Life, 1904
      "
Hugh Duncan,22 x 15 inches,"
        Still Life, Man
      "
Hardie Gramatky,12 x 18 inches,"
        Stone Woman, 1942
      "
Gerald Collins Gleeson,18.25 x 22 inches,"
        Street Corner
      "
Richmond Kelsey,"20 x 24 inches, oil on canvas, signed on verso","
        Street Market, Mexico, c. 1950s
      "
Robert Hiram Meltzer,22 x 30 inches,"
        Strolling the Beach
      "
Millard Sheets,12.25 x 9.25 inches,"
        House Beautiful, c. 1940s
      "
Milford Zornes,21.5 x 29.5 inches,"
        Study for Manzanillo Harbor, 1998
      "
Ben Messick,11 x 19 inches,"
        Study for Vortex
      "
Ken Potter,22 x 30 inches,"
        Suisun bay, 1995
      "
Dorothea Cooke (Gramatky),10 x 14 inches,"
        Summer's Bounty, 1982
      "
Richmond Kelsey,14 x 20 inches,"
        Summerland, 1934
      "
Vic de Beck,14.25 x 20.75 inches,"
        Summertime Sonoma
      "
Robert E. Wood,14 x 22 inches,"
        Sun Bathers, 1987
      "
Art Riley,21.75 x 29.5 inches,"
        Sunday
      "
David Solomon,22 x 30 inches,"
        Sunday Morning Street Scaper
      "
Sid Bingham,18 x 23 inches,"
        Sunflowers in Vase
      "
Ken Goldman,11.75 x 9 inches,"
        A sketch Group at the Library
      "
Ken Goldman,22 x 15 inches,"
        Sunlit Trunks
      "
David Blower,13 x 16 inches,"
        Sunset Blvd. Promenade, c. 1940s
      "
Steve Santmyer,22 x 30 inches,"
        Surfers at Crystal Cove
      "
David Solomon,21.5 x 29.75 inches,"
        Swell Seasoned
      "
Tom Van Sant,22 x 30 inches,"
        Sycamore Forest, 1955
      "
John Bohnenberger,21.5 x 29.5 inches,"
        Tattered Curtains
      "
Ralph Hulett,21 x 29.25 inches,"
        Tavern in the Town, California
      "
Jack Laycox,22.25 x 30.75 inches,"
        Telegraph Hill, 1963
      "
Helen Edell Sloan,20 x 28 inches,"
        Tempo
      "
Nat Levy,21.75 x 30 inches,"
        Ten Mile Ranch
      "
Tom Van Sant,22.25 x 29.75 inches,"
        Thailand Temple, 1955
      "
Jade Fon,15 x 21.25 inches,"
        Thayer at Oakland Drydock
      "
Robert Uecker,22 x 30 inches,"
        The Aviary, c. 1940s
      "
John B. Munroe,21 x 14 inches,"
        The Blacksmith
      "
Vernon Nye,14.5 x 22 inches,"
        The Boat House, Mendocino
      "
Jo Rebert,21.25 x 29.25 inches,"
        The Cafe
      "
Ken Decker,11 x 15 inches,"
        Beach House
      "
Nat Levy,14 x 21.5 inches,"
        The Chicken Coop
      "
Frank Eber,12 x 16 inches,"
        The Early Meeting, Orange, CA
      "
Robert E. Wood,22 x 30 inches,"
        The Falls, Puerto Vallarta
      "
George Gibson,17.5 x 24 inches,"
        The Fishing Pool, Los Altos, CA, 1950
      "
Jo Rebert,21.5 x 29.25 inches,"
        The Fruit Bowl
      "
Sid Bingham,13 x 23.5 inches,"
        The Gate, Los Angeles County Arboretum
      "
John Bohnenberger,21.5 x 29.5 inches,"
        The Great Tug
      "
Carolyn Lord,15 x 22 inches,"
        The Green Corner at College and L, 1998
      "
Sid Bingham,20.25 x 28.25 inches,"
        The Green Sofa
      "
Franz Bergmann,14.75 x 19.75 inches,"
        The Guard
      "
Gordon Grant,15 x 22 inches,"
        The Guard Rail
      "
Vernon Nye,14.5 x 22 inches,"
        The Hunting Party
      "
Frederic Whitaker,27 x 21.5 inches,"
        The Indian Mother
      "
Joseph Knowles,14.5 x 22 inches,"
        The Lighthouse, 1946
      "
Sid Bingham,12 x 16 inches,"
        The Loud Peace, Hannover, Germany
      "
John Bohnenberger,21.5 x 29.5 inches,"
        The Marina
      "
David Solomon,10.75 x 14.75 inches,"
        The Mariott
      "
Lawrence Murphy,15 x 22 inches,"
        The Migrants
      "
Don David,21.5 x 14 inches,"
        The Model in Loren Barton's Class, 1946
      "
David Solomon,21.75 x 29.75 inches,"
        The Ol' Toll Road
      "
Art Riley,18 x 25 inches,"
        The Old Truck
      "
Paul Sample,12.5 x 18.5 inches,"
        The Red Barn
      "
John Bohnenberger,21.5 x 29.5 inches,"
        The Red Boat
      "
John Bohnenberger,21.5 x 29.5 inches,"
        The Rocky Shore
      "
Thelma Speed Houston,17.75 x 23.25 inches,"
        The Track
      "
Ken Goldman,22.25 x 21.75 inches,"
        The Tuna Slicing Demo
      "
John Bohnenberger,21.5 x 29.5 inches,"
        The Valley
      "
Franz Bergmann,14 x 18.75 inches,"
        Three Jesters
      "
Jade Fon,14 x 20.75 inches,"
        Thru the Fog, Lake Merritt
      "
Art Riley,21.5 x 29 inches,"
        Tide Pools
      "
Ken Goldman,20 x 30 inches,"
        Torrey Pines
      "
Ken Potter,30 x 22 inches,"
        Tosco's Boiler, 1995
      "
David Solomon,15 x 20 inches,"
        Treasure Island
      "
Betsy Dillard Stroud,30 x 22.25 inches,"
        Tree of Darby
      "
Franz Bergmann,14 x 18.5 inches,"
        Triangle
      "
Art Riley,21.5 x 29 inches,"
        Trolling Off the Coast
      "
Tom Van Sant,22.25 x 30 inches,"
        Tropical Mood, 1953
      "
Hardie Gramatky,8 x 12 inches,"
        Tropical Steamer, Mazatlan, 1931
      "
Lee Blair,10 x 14.75 inches,"
        Deep Sea Fishing
      "
Tom Van Sant,22.5 x 29 inches,"
        Tropical Sunset
      "
Sid Bingham,17.75 x 23.5 inches,"
        Trumpet Player 2
      "
Art Riley,22 x 30 inches,"
        Tucson Mission
      "
Hardie Gramatky,16 x 21 inches,"
        Turkey Hill, (Westport), 1961
      "
Gerald Collins Gleeson,18.5 x 24 inches,"
        Two Men and a Bicycle, 1955
      "
Wayne La Com,14 x 20 inches,"
        Under the Pier, Santa Monica
      "
Hugh Duncan,15 x 22 inches,"
        Under the Tree
      "
Betsy Dillard Stroud,30 x 22 inches,"
        Urban Cowboy
      "
Dorner T. Schueler,14 x 21 inches,"
        Vallejo Ferry, 1956
      "
John Bohnenberger,21.25 x 28.5 inches,"
        Valley Market
      "
Carolyn Lord,15 x 22 inches,"
        Valley Pool, 2009
      "
Art Riley,21 x 29 inches,"
        Victorian House
      "
Jake Lee,15 x 22 inches,"
        Victorian House
      "
Phil Dike,14 x 20 inches,"
        Victorian House
      "
Tom Van Sant,22 x 30 inches,"
        Vietnamese Temple
      "
Sid Bingham,18 x 23.75 inches,"
        View from Bugle Ridge, Quaker Mountain
      "
Don David,14.25 x 20.75 inches,"
        Village Scene Near Sacramento, 1937
      "
Jo Rebert,29.25 x 21.25 inches,"
        Visit
      "
Jake Lee,14 x 20 inches,"
        Vista Alegre
      "
John Norman Stewart,15.75 x 20 inches,"
        Wagon at White Sands
      "
Ken Decker,11 x 15 inches,"
        Walk on the Beach
      "
Frank LaLumia,14.5 x 21.5 inches,"
        Walks with Naya No. 3
      "
David Solomon,8 x 10 inches,"
        Walley's Barber Shop, Laguna
      "
